"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Nombre"
2019,1,1,"Ciutat Vella",1,"el Raval","Total","58.9"
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total","84.9"
2019,1,1,"Ciutat Vella",3,"la Barceloneta","Total","45.7"
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total","65.3"
2019,1,2,"Eixample",5,"el Fort Pienc","Total","97.4"
2019,1,2,"Eixample",6,"la Sagrada Família","Total","73.9"
2019,1,2,"Eixample",7,"la Dreta de l'Eixample","Total","91.5"
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total","92.5"
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total","73.0"
2019,1,2,"Eixample",10,"Sant Antoni","Total","77.6"
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total","63.8"
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total","63.0"
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total","71.3"
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total","66.7"
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total","65.7"
2019,1,3,"Sants-Montjuïc",16,"la Bordeta","Total","65.9"
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total","69.6"
2019,1,3,"Sants-Montjuïc",18,"Sants","Total","69.9"
2019,1,4,"Les Corts",19,"les Corts","Total","83.2"
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total","80.8"
2019,1,4,"Les Corts",21,"Pedralbes","Total","157.9"
2019,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total","161.7"
2019,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total","109.5"
2019,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total","132.8"
2019,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total","131.1"
2019,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total","112.0"
2019,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total","101.3"
2019,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total","74.5"
2019,1,6,"Gràcia",29,"el Coll","Total","65.8"
2019,1,6,"Gràcia",30,"la Salut","Total","87.9"
2019,1,6,"Gràcia",31,"la Vila de Gràcia","Total","82.1"
2019,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total","80.2"
2019,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total","71.3"
2019,1,7,"Horta-Guinardó",34,"Can Baró","Total","73.5"
2019,1,7,"Horta-Guinardó",35,"el Guinardó","Total","76.9"
2019,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total","96.9"
2019,1,7,"Horta-Guinardó",37,"el Carmel","Total","65.6"
2019,1,7,"Horta-Guinardó",38,"la Teixonera","Total","65.0"
2019,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total","70.4"
2019,1,7,"Horta-Guinardó",40,"Montbau","Total","67.4"
2019,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total","52.0"
2019,1,7,"Horta-Guinardó",42,"la Clota","Total","58.5"
2019,1,7,"Horta-Guinardó",43,"Horta","Total","74.5"
2019,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total","66.3"
2019,1,8,"Nou Barris",45,"Porta","Total","65.9"
2019,1,8,"Nou Barris",46,"el Turó de la Peira","Total","64.2"
2019,1,8,"Nou Barris",47,"Can Peguera","Total","57.0"
2019,1,8,"Nou Barris",48,"la Guineueta","Total","70.9"
