Distritos,Dirección,Superficie (m2)
Ciutat Vella,Parc de la Ciutadella,287
Ciutat Vella,Parc de la Barceloneta,451
Ciutat Vella,Jardins de Sant Pau del Camp,227
l’Eixample,Jardins Montserrat,38
l’Eixample,Pl. Doctor Letamendi,8
l’Eixample,Jardins de Doctor Duran i Reynals,83
l’Eixample,Pl. Sagrada Família,333
l’Eixample,Jardins de la Indústria,513
l’Eixample,Parc Joan Miró,737
l’Eixample,Avda. Josep Tarradellas – Pl. F.Macià – Av. Sarrià,11
l’Eixample,Av. Diagonal – Consell de Cent – Padilla,493
l’Eixample,Av. Mistral – Vilamarí – Av. Paral·lel,216
l’Eixample,Parc Estació del Nord,1045
l’Eixample,Carrer Nàpols,-
Gràcia,Jardins del Mestre Balcells,254
Gràcia,Plaça Alfons Comín,66
Gràcia,Jardí Doctor Comas i Llaberia,9
Gràcia,Jardins Menendez Pelayo,151
Gràcia,Park Güell (acceso av. Coll del Portell),253
Gràcia,Park Güell (forestal),429
Gràcia,Sota Viaducte de Vallcarca,239
Gràcia,Farigola 21-25,675
Gràcia,Esteve Terrades (cerca Clínica Delfos),78
Gràcia,Travessera de Gràcia 253,252
Gràcia,"Torrent del Remei, Park Güell Forestal",-
Horta-Guinardó,Jardins de Rosa Luxemburg,441
Horta-Guinardó,Passatge Xinxó,215
Horta-Guinardó,Pl. Joan Cornudella,579
Horta-Guinardó,Jardins Jaume Planas (Llobregós – Ramon Rocafull),110
Horta-Guinardó,Pl. Meguidó (Aparcament Casa Groga),245
Horta-Guinardó,Jardins Can Brasó,928
Horta-Guinardó,"Jardins del Baix Guinardó, Carrer Marina",-
Horta-Guinardó,Jardins de Frederica Montseny,57
Horta-Guinardó,Juan de Mena – Vall d’Hebron,30
Horta-Guinardó,"Jardins Hiroshima – Carrer Camèlies, 80
Coll i Alentorn
Jardins d’Eduard Batiste Alentorn",-
Les Corts,Jardins de Can Cuiàs,169
Les Corts,Pl. Les Corts,538
Les Corts,Jardins de Josep Munté,116
Les Corts,Jardí Bacardí,309
Les Corts,Jardins de la Font dels Ocellets,413
Les Corts,Bosch i Gimpera 15,637
Les Corts,Parc de Can Rigal,363
Les Corts,Jardins Joaquim Ruyra,35
Les Corts,"Jardins Can Feu
Jardins Emilia Miret i Soler",-
Nou Barris,Parc Esportiu Can Dragó (Pg. Andreu Nin),811
Nou Barris,Parc Central de Nou Barris,399
Nou Barris,Parc Turó de la Peira,164
Nou Barris,C. Fabra i Puig – Urrutia – Capsec,45
Nou Barris,Av. Rasos de Peguera,213
Nou Barris,Parc de la Guineueta,459
Nou Barris,"Av Meridiana, 575 (Meridiana – Via Favència – Cooperació)",700
Sant Andreu,Tram 10 (Nús de la Trinitat – Autopistes),364
Sant Andreu,Parc de la Maquinista de Sant Andreu,421
Sant Andreu,Parc de la Pegaso,272
Sant Andreu,Hondures – Sagrera – Josep Estivill,38
Sant Andreu,Pl. Congres Eucarístic,34
Sant Andreu,Pg. Maragall – Trinxant – Juan de Garay,34
Sant Andreu,Pl. Mossèn Joan Cortinas,233
Sant Andreu,Cinca (detrás Parròquia Sant Andreu),50
Sant Andreu,Jardins Aigües de Montcada,203
Sant Andreu,Pl. Palmeres,73
Sant Andreu,Pl. Abat Escarré,18
Sant Andreu,Ciutat d’Asunción – Ferran Junoy – Tucuman,-
Sant Andreu,"Pare Pérez del Pulgar
Torrent Parera – N152",-
Sant Martí,Jardins de Gandhi –,357
Sant Martí,Via Trajana – Santander – Pg. Verneda – Binefar –,228
Sant Martí,"Parc de Diagonal Mar (Llull, 362) –",1000
Sant Martí,Parc del Clot –,450
Sant Martí,Pl. Heroïnes de Girona –,28
Sant Martí,Parc del Poblenou –,660
Sant Martí,Parc del Centre del Poblenou –,178
Sant Martí,Jardins de Joana Tomàs –,90
Sant Martí,Parc Carles I –,2360
Sant Martí,Jardins de Can Miralletes –,620
Sant Martí,Pl. Julio González –,51
Sant Martí,Jardins Clot de la Mel –,243
