Nombre,Caracteristicas,Sexo,Medidas,Edad,Color,Raza,Nacimiento,Entrada,Años perrera,Estado,Actividad,Compañia,Caracter
Gina,Curiosa y elegante,Hembra,Grande,Adulto,Blanco,Mestizo,2010,02/2014,4.1 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Horus,Una familia con dedicación,Macho,Grande,Joven,Marron oscuro,Mestizo de Pastor Alemán,03/2016,09/2017,1.5 years,En Adopción,Actividad Normal,Compañia,Difícil
Muñeca,Preparada para volver a empezar,Hembra,Mediano,Adulto,Negro,Mestizo,02/2012,07/2018,6.4 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Goliath,Necesita un hogar urgente,Macho,Grande,Joven,Gris,Fila Brasileiro,03/2018,02/2019,0.9 years,Urgente,Actividad Normal,"No Apto con perros, gatos, niños",Difícil
Bruno,Una persona que lo entienda,Macho,Pequeño,Adulto,Beig,Mestizo de Terrier,10/2011,01/2018,6.3 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Skaner,Invisible,Macho,Grande,Adulto,Canela y blanco,Mestizo,10/2013,03/2019,5.4 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Riki,Noble y tierno,Macho,Mediano,Adulto,Marrón oscuro,Mestizo de Podenco,05/2015,04/2019,3.9 years,En Adopción,Actividad Normal,Compañia,Difícil
Pepa,Necesita confiar,Hembra,Pequeño,Adulto,Chocolate,Mestizo,02/2013,07/2019,6.4 years,En Adopción,Actividad Normal,"No Apto con perros, gatos, niños",Cariñoso
Tay,Sigue esperando ,Macho,Mediano,Adulto,Beig,Mestizo de Bullterrier,10/2017,09/2018,0.9 years,Urgente,Actividad Normal,Compañia,Cariñoso
Basil,Cariñoso y dulce,Macho,Mediano,Joven,Marrón claro,Mestizo de Podenco,08/2017,08/2019,2.0 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Tona,Tranquila y mimosa,Hembra,Mediano,Adulto,Marrón oscuro,Mestizo,01/2012,10/2019,7.7 years,En Adopción,Actividad Normal,"No Apto con perros, gatos, niños",Cariñoso
Toby,Necesita conocer,Macho,Pequeño,Joven,Negro y marrón,Mestizo de Terrier,07/2015,02/2019,3.6 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Neo,Buscando un nuevo hogar,Macho,Grande,Adulto,Crema,Podenco,11/2013,01/2020,6.2 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Simba,Precioso paticorto ,Macho,Mediano,Adulto,Blanco,Mestizo,08/2018,02/2020,1.5 years,En Adopción,Actividad Normal,No Compañia,Difícil
Tizón,Joven y juguetón ,Macho,Grande,Cachorro,Negro,Mestizo,03/2019,02/2020,0.9 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Thor,¡¡ RESERVADO !!,Macho,Mediano,Adulto,Negro,Mestizo,04/2015,02/2020,4.8 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Blai,¡¡ RESERVADO !!,Macho,Grande,Adulto,Atigrado y blanco,Mestizo,11/2016,06/2020,3.6 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Luna,Necesita compañía,Hembra,Pequeño,Adulto,Atigrado,Mestizo de Terrier,2012,07/2020,8.5 years,Urgente,Actividad Extra,Compañia,Cariñoso
Osiris,Hogar con experiencia,Macho,Pequeño,Joven,Negro,Mestizo de caniche,06/2018,09/2019,1.3 years,En Adopción,Actividad Normal,"No Apto con perros, gatos, niños",Difícil
Maggie,¡¡ RESERVADA !!,Hembra,Grande,Adulto,Propio,Mestizo,03/2015,07/2020,5.3 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Aura,¡¡ RESERVADA !!,Hembra,Grande,Adulto,Crema,Mestizo de Mastín,09/2013,07/2020,6.8 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Maya,¡¡ RESERVADA !!,Hembra,Grande,Adulto,Blanco,Mestizo,02/2018,07/2020,2.4 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Chuche,Una nueva oportunidad,Hembra,Mediano,Adulto,Marrón,Mestizo de Bullterrier,03/2017,07/2020,3.3 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Olivia,Necesita un hogar urgente,Hembra,Grande,Adulto,Marrón y blanco,Mestizo,09/2013,07/2020,6.8 years,Urgente,Actividad Normal,Compañia,Cariñoso
Cotó,Necesita cariño,Macho,Grande,Adulto,No disponible,Staffordshire inglés,03/2017,07/2020,3.3 years,En Adopción,Actividad Normal,Compañia,Difícil
Rosalia,Necesita confiar,Hembra,Pequeño,Joven,Marrón claro,Podenco,05/2018,07/2020,2.2 years,En Adopción,Actividad Normal,Compañia,Difícil
Marley,¡¡ RESERVADO !!,Macho,Grande,Adulto,No disponible,Pastor belga malinois,10/2018,07/2020,1.7 years,En Adopción,Actividad Extra,Compañia,Cariñoso
Yara,Un futuro para ella ,Hembra,Mediano,Adulto,Blanco y negro,Staffordshire inglés,09/2016,08/2020,3.9 years,En Adopción,Actividad Normal,Compañia,Difícil
Pongo,Necesita cariño y un buen hogar ,Macho,Mediano - Grande,Joven,Negro y marrón,Mestizo de Pastor Alemán,07/2016,08/2020,4.1 years,En Adopción,Actividad Normal,"No Apto con perros, gatos, niños",Cariñoso
Lisa,Podenquita sin hogar,Hembra,Mediano,Adulto,Marrón claro,Podenco,06/2016,06/2020,4.0 years,En Adopción,Actividad Normal,Compañia,Difícil
Duna,Empezar de nuevo ,Hembra,Mediano,Adulto,Atigrado,Mestizo,06/2015,08/2020,5.2 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Tronca,Simpática y mimosa,Hembra,Mediano,Adulto,Atigrado,Mestizo de Pitbull,09/2015,08/2020,4.9 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Akami,Un hogar para él ,Macho,Mediano,Adulto,Varios,Mestizo,04/2017,08/2020,3.3 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Otta,Confiando en el ser humano,Hembra,Mediano,Joven,Marrón y blanco,Mestizo,05/2016,07/2020,4.2 years,En Adopción,Actividad Normal,Compañia,Difícil
Leia,Volviendo a confiar,Hembra,Pequeño,Joven,Marrón oscuro,Mestizo de Podenco,06/2015,08/2020,5.2 years,En Adopción,Actividad Normal,Compañia,Difícil
Coral,Simpática y movida,Hembra,Pequeño,Joven,Marrón y blanco,Mestizo de Podenco,02/2019,08/2020,1.5 years,En Adopción,Actividad Extra,Compañia,Cariñoso
Harry,Encantador,Macho,Mediano,Joven,Marrón claro,Mestizo de Podenco,07/2019,08/2020,1.1 years,En Adopción,Actividad Normal,Compañia,Cariñoso
Elvira,Joven y movida,Hembra,Pequeño,Joven,Marrón y blanco,Mestizo,10/2019,09/2020,0.9 years,En Adopción,Actividad Extra,Compañia,Cariñoso
