Distrito,Parque,Superficie parque (mq),Barrio,Superficie media casa (mq)
Ciutat Vella,Parc de la Ciutadella,1,el Raval,58.9
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,84.9
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,45.7
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",65.3
Ciutat Vella,Parc de la Ciutadella,1,el Raval,59.6
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,98.2
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,33.0
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",111.0
Ciutat Vella,Parc de la Ciutadella,1,el Raval,58.9
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,78.4
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,46.7
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",62.7
Ciutat Vella,Parc de la Ciutadella,1,el Raval,56.2
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,83.6
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,48.2
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",67.7
Ciutat Vella,Parc de la Ciutadella,1,el Raval,50.0
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,74.8
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,30.5
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",102.8
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",80.0
Ciutat Vella,Parc de la Ciutadella,1,el Raval,56.4
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,85.5
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,48.9
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",62.9
Ciutat Vella,Parc de la Ciutadella,1,el Raval,60.5
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,87.3
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,42.6
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",73.2
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,70.1
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,28.0
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",97.3
Ciutat Vella,Parc de la Ciutadella,1,el Raval,60.5
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,93.7
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,43.0
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",72.4
Ciutat Vella,Parc de la Ciutadella,1,el Raval,59.2
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,89.5
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,46.1
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",78.0
Ciutat Vella,Parc de la Ciutadella,1,el Raval,56.5
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,139.5
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,44.8
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",112.7
Ciutat Vella,Parc de la Ciutadella,1,el Raval,59.2
Ciutat Vella,Parc de la Ciutadella,1,el Barrio Gótico,83.0
Ciutat Vella,Parc de la Ciutadella,1,la Barceloneta,46.3
Ciutat Vella,Parc de la Ciutadella,1,"San Pedro, Santa Caterina y la Ribera",76.0
Ciutat Vella,Parc de la Barceloneta,1,el Raval,58.9
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,84.9
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,45.7
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",65.3
Ciutat Vella,Parc de la Barceloneta,1,el Raval,59.6
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,98.2
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,33.0
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",111.0
Ciutat Vella,Parc de la Barceloneta,1,el Raval,58.9
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,78.4
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,46.7
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",62.7
Ciutat Vella,Parc de la Barceloneta,1,el Raval,56.2
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,83.6
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,48.2
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",67.7
Ciutat Vella,Parc de la Barceloneta,1,el Raval,50.0
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,74.8
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,30.5
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",102.8
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",80.0
Ciutat Vella,Parc de la Barceloneta,1,el Raval,56.4
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,85.5
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,48.9
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",62.9
Ciutat Vella,Parc de la Barceloneta,1,el Raval,60.5
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,87.3
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,42.6
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",73.2
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,70.1
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,28.0
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",97.3
Ciutat Vella,Parc de la Barceloneta,1,el Raval,60.5
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,93.7
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,43.0
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",72.4
Ciutat Vella,Parc de la Barceloneta,1,el Raval,59.2
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,89.5
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,46.1
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",78.0
Ciutat Vella,Parc de la Barceloneta,1,el Raval,56.5
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,139.5
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,44.8
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",112.7
Ciutat Vella,Parc de la Barceloneta,1,el Raval,59.2
Ciutat Vella,Parc de la Barceloneta,1,el Barrio Gótico,83.0
Ciutat Vella,Parc de la Barceloneta,1,la Barceloneta,46.3
Ciutat Vella,Parc de la Barceloneta,1,"San Pedro, Santa Caterina y la Ribera",76.0
Ciutat Vella,Jardins de Sant Pau del Camp,1,el Raval,58.9
Ciutat Vella,Jardins de Sant Pau del Camp,1,el Barrio Gótico,84.9
